Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 400, 6.42, 0.15, 33.92, 0.02, 5.06, 0.18, 0.42, 0.03, 4.41, 0.50, 12.01, 0.85, 1.00, 6.70, 0.001, 0.70, 6
0, 2, 400, 74.01, 0.12, 42.73, 0.02, 4.11, 0.17, 0.48, 0.02, 5.92, 0.53, 8.58, 0.79, 0.99, 6.19, 0.001, 0.73, 6
0, 3, 303, 91.46, 0.07, 53.46, 0.12, 9.65, 0.16, 3.44, 0.04, 69.72, 0.56, 2.80, 0.47, 0.93, 104.29, 0.063, 3.24, 3
0, 4, 230, 22.22, 0.01, 65.99, 0.02, 7.42, 0.03, 3.08, 0.02, 92.61, 0.20, 2.41, 0.41, 0.91, 71.84, 0.064, 0.13, 0
0, 5, 400, 59.00, 0.14, 61.95, 0.02, 4.58, 0.18, 0.43, 0.02, 4.77, 0.44, 10.72, 0.83, 1.00, 6.15, 0.001, 0.68, 6
0, 6, 0, 31.89, 0.00, 63.44, 0.00, 0.00, 0.00, 0.00, 0.00, 180.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.000, NaN, 1
0, 7, 400, 76.73, 0.12, 64.18, 0.02, 4.37, 0.17, 0.46, 0.02, 5.29, 0.55, 9.41, 0.81, 0.99, 6.38, 0.000, 0.74, 6
0, 8, 400, 11.79, 0.10, 71.02, 0.02, 3.78, 0.15, 0.54, 0.03, 7.32, 0.76, 7.00, 0.75, 0.99, 6.39, 0.000, 0.80, 6
1, 1, 400, 12.05, 0.21, 1.59, 0.02, 5.99, 0.28, 0.36, 0.02, 2.98, 0.40, 16.80, 0.89, 1.00, 6.72, 0.000, 0.69, 6
1, 2, 400, 85.67, 0.15, 21.62, 0.02, 5.04, 0.20, 0.40, 0.02, 3.99, 0.44, 12.60, 0.85, 1.00, 6.34, 0.001, 0.69, 6
1, 3, 203, 90.74, 0.01, 44.13, 0.03, 6.37, 0.05, 3.40, 0.01, 88.74, 0.31, 1.88, 0.30, 0.85, 67.96, 0.062, 0.16, 0
1, 4, 400, 43.74, 0.13, 48.10, 0.02, 4.21, 0.18, 0.48, 0.02, 5.75, 0.56, 8.84, 0.80, 0.99, 6.30, 0.001, 0.73, 6
1, 5, 400, 33.24, 0.14, 66.06, 0.02, 4.31, 0.20, 0.48, 0.03, 5.74, 0.65, 8.97, 0.80, 0.99, 6.49, 0.000, 0.75, 6
1, 6, 400, 48.01, 0.15, 73.28, 0.03, 4.42, 0.18, 0.48, 0.03, 5.54, 0.73, 9.16, 0.80, 0.99, 6.70, 0.000, 0.77, 6
1, 7, 0, 85.26, 0.00, 75.52, 0.00, 0.00, 0.00, 0.00, 0.00, 180.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.000, NaN, 1
2, 1, 400, 75.84, 0.11, 15.49, 0.02, 3.60, 0.15, 0.55, 0.03, 7.78, 0.74, 6.55, 0.74, 0.99, 6.23, 0.000, 0.79, 6
2, 2, 267, 39.18, 0.04, 27.64, 0.09, 8.45, 0.11, 3.43, 0.04, 85.53, 0.69, 2.46, 0.42, 0.91, 90.93, 0.058, 11.29, 3
2, 3, 176, 89.63, 0.01, 24.68, 0.02, 5.54, 0.03, 2.58, 0.01, 86.21, 0.19, 2.15, 0.36, 0.88, 44.89, 0.054, 0.09, 0
2, 4, 400, 8.52, 0.15, 20.91, 0.01, 5.25, 0.21, 0.37, 0.02, 3.63, 0.33, 14.19, 0.87, 1.00, 6.11, 0.000, 0.63, 6
