Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 400, 16.06, 0.15, 5.81, 0.01, 5.25, 0.21, 0.37, 0.02, 3.65, 0.34, 14.12, 0.87, 1.00, 6.12, 0.000, 0.64, 6
0, 2, 400, 36.45, 0.15, 11.28, 0.01, 6.04, 0.22, 0.33, 0.02, 2.79, 0.29, 18.51, 0.90, 1.00, 6.19, 0.000, 0.64, 6
0, 3, 400, 47.59, 0.23, 29.04, 0.02, 7.45, 0.27, 0.30, 0.02, 2.33, 0.34, 24.63, 0.92, 1.00, 7.09, 0.000, 0.59, 6
0, 4, 400, 74.41, 0.15, 41.28, 0.02, 5.05, 0.21, 0.41, 0.03, 4.08, 0.50, 12.18, 0.85, 1.00, 6.57, 0.000, 0.71, 6
0, 5, 400, 20.92, 0.19, 45.63, 0.01, 6.65, 0.28, 0.29, 0.02, 2.35, 0.23, 22.81, 0.92, 1.00, 6.09, 0.000, 0.62, 6
0, 6, 400, 8.13, 0.11, 51.51, 0.02, 3.90, 0.15, 0.52, 0.03, 6.61, 0.66, 7.57, 0.77, 0.99, 6.32, 0.000, 0.77, 6
0, 7, 197, 66.13, 0.01, 70.71, 0.02, 6.78, 0.04, 3.07, 0.01, 89.40, 0.17, 2.21, 0.38, 0.89, 65.52, 0.055, 0.10, 0
1, 1, 179, 36.70, 0.01, 11.22, 0.01, 5.00, 0.01, 3.08, 0.01, 89.83, 0.20, 1.62, 0.24, 0.79, 48.36, 0.077, 0.05, 0
1, 2, 400, 48.42, 0.13, 17.76, 0.02, 5.05, 0.19, 0.40, 0.02, 3.96, 0.42, 12.64, 0.85, 1.00, 6.33, 0.000, 0.68, 6
1, 3, 400, 18.24, 0.12, 19.01, 0.02, 4.46, 0.17, 0.44, 0.02, 5.01, 0.50, 10.05, 0.82, 1.00, 6.22, 0.000, 0.70, 6
1, 4, 187, 63.31, 0.01, 30.43, 0.02, 6.50, 0.02, 2.53, 0.01, 89.61, 0.12, 2.57, 0.44, 0.92, 51.65, 0.082, 0.06, 0
1, 5, 200, 20.08, 0.01, 45.97, 0.01, 6.36, 0.02, 2.83, 0.01, 89.77, 0.12, 2.24, 0.38, 0.90, 56.64, 0.062, 0.06, 0
1, 6, 400, 65.40, 0.15, 39.04, 0.01, 5.25, 0.21, 0.37, 0.02, 3.65, 0.34, 14.12, 0.87, 1.00, 6.12, 0.000, 0.64, 6
1, 7, 168, 36.16, 0.01, 46.51, 0.01, 5.03, 0.01, 2.72, 0.01, 89.89, 0.18, 1.85, 0.30, 0.84, 42.91, 0.075, 0.06, 0
1, 8, 297, 51.32, 0.01, 65.44, 0.03, 10.86, 0.04, 3.01, 0.01, 90.79, 0.09, 3.60, 0.57, 0.96, 102.82, 0.063, 0.93, 3
