Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 215, 23.05, 0.05, 12.45, 0.15, 8.18, 0.20, 3.04, 0.03, 80.57, 1.31, 2.69, 0.46, 0.93, 78.17, 0.055, 0.46, 3
0, 2, 212, 46.78, 0.01, 23.21, 0.01, 6.51, 0.02, 3.55, 0.01, 91.56, 0.15, 1.83, 0.29, 0.84, 72.66, 0.051, 0.06, 0
0, 3, 227, 19.60, 0.04, 25.48, 0.08, 7.47, 0.11, 3.63, 0.03, 76.37, 0.95, 2.06, 0.35, 0.87, 85.19, 0.045, 0.37, 6
0, 4, 227, 45.53, 0.01, 40.27, 0.02, 6.83, 0.02, 3.37, 0.01, 92.11, 0.19, 2.03, 0.34, 0.87, 72.27, 0.057, 0.10, 0
0, 5, 400, 78.78, 0.14, 61.45, 0.01, 4.58, 0.19, 0.43, 0.02, 4.73, 0.42, 10.72, 0.83, 1.00, 6.14, 0.000, 0.67, 6
0, 6, 400, 8.72, 0.12, 71.77, 0.02, 4.12, 0.17, 0.48, 0.02, 5.90, 0.49, 8.61, 0.79, 0.99, 6.19, 0.000, 0.72, 6
1, 1, 209, 17.81, 0.01, 18.50, 0.02, 6.83, 0.02, 3.32, 0.01, 90.84, 0.14, 2.06, 0.35, 0.87, 71.22, 0.051, 0.07, 0
1, 2, 231, 29.26, 0.03, 31.73, 0.06, 6.75, 0.08, 3.25, 0.03, 83.57, 0.96, 2.08, 0.35, 0.88, 68.88, 0.054, 0.37, 3
1, 3, 206, 66.42, 0.01, 33.22, 0.02, 6.85, 0.02, 3.12, 0.01, 88.86, 0.15, 2.20, 0.37, 0.89, 67.03, 0.053, 0.08, 0
1, 4, 400, 82.31, 0.11, 32.21, 0.02, 3.88, 0.14, 0.52, 0.02, 6.60, 0.68, 7.53, 0.77, 0.99, 6.29, 0.000, 0.77, 6
1, 5, 358, 28.41, 0.41, 45.07, 0.77, 11.71, 1.69, 5.01, 0.14, 59.29, 2.30, 2.34, 0.40, 0.90, 184.37, 0.056, 6.88, 3
1, 6, 400, 47.51, 0.13, 41.19, 0.02, 4.36, 0.17, 0.47, 0.02, 5.32, 0.61, 9.36, 0.81, 0.99, 6.39, 0.000, 0.74, 6
1, 7, 144, 25.79, 0.08, 46.44, 0.22, 3.67, 0.21, 2.45, 0.14, 61.34, 10.51, 1.49, 0.20, 0.74, 28.25, 0.047, 0.70, 6
1, 8, 400, 87.62, 0.11, 46.44, 0.02, 4.00, 0.15, 0.49, 0.02, 6.25, 0.57, 8.12, 0.78, 0.99, 6.19, 0.000, 0.73, 6
1, 9, 400, 55.73, 0.11, 59.53, 0.02, 4.00, 0.15, 0.49, 0.02, 6.25, 0.57, 8.12, 0.78, 0.99, 6.19, 0.000, 0.73, 6
1, 10, 400, 36.27, 0.15, 62.28, 0.02, 5.06, 0.20, 0.42, 0.03, 4.43, 0.51, 11.94, 0.85, 1.00, 6.73, 0.000, 0.70, 6
1, 11, 400, 12.75, 0.14, 75.63, 0.02, 4.29, 0.17, 0.48, 0.03, 5.75, 0.61, 8.91, 0.80, 0.99, 6.49, 0.000, 0.75, 6
