Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 198, 79.45, 0.01, 13.11, 0.01, 5.42, 0.02, 3.70, 0.01, 92.42, 0.39, 1.47, 0.19, 0.73, 62.93, 0.075, 0.10, 0
0, 2, 200, 25.00, 0.01, 19.72, 0.01, 6.20, 0.01, 3.20, 0.01, 88.96, 0.16, 1.94, 0.32, 0.86, 62.41, 0.052, 0.07, 0
0, 3, 207, 82.77, 0.01, 28.96, 0.02, 6.36, 0.03, 3.58, 0.01, 84.81, 0.29, 1.78, 0.28, 0.83, 71.55, 0.046, 0.13, 6
0, 4, 204, 39.72, 0.01, 40.36, 0.01, 5.96, 0.02, 3.26, 0.01, 91.58, 0.19, 1.83, 0.29, 0.84, 61.03, 0.053, 0.08, 0
0, 5, 400, 32.92, 0.13, 71.90, 0.02, 4.36, 0.17, 0.47, 0.02, 5.36, 0.56, 9.32, 0.81, 0.99, 6.41, 0.000, 0.74, 6
1, 1, 193, 22.58, 0.01, 10.21, 0.01, 4.95, 0.02, 3.88, 0.01, 89.35, 0.48, 1.28, 0.12, 0.62, 60.36, 0.082, 0.08, 0
1, 2, 212, 35.78, 0.01, 38.91, 0.01, 6.01, 0.01, 3.56, 0.01, 87.76, 0.18, 1.69, 0.26, 0.81, 67.32, 0.056, 0.06, 0
1, 3, 400, 74.89, 0.14, 41.52, 0.02, 4.38, 0.18, 0.46, 0.03, 5.32, 0.56, 9.44, 0.81, 0.99, 6.39, 0.000, 0.74, 6
1, 4, 309, 45.13, 0.07, 52.13, 0.07, 7.34, 0.07, 5.26, 0.10, 40.52, 1.93, 1.40, 0.17, 0.70, 121.25, 0.051, 4.98, 3
1, 5, 400, 73.58, 0.13, 71.33, 0.01, 4.68, 0.21, 0.42, 0.02, 4.64, 0.40, 11.19, 0.84, 1.00, 6.16, 0.000, 0.68, 6
2, 1, 218, 12.94, 0.02, 35.17, 0.05, 6.53, 0.06, 3.10, 0.03, 85.78, 0.56, 2.10, 0.36, 0.88, 63.66, 0.044, 0.32, 6
2, 2, 400, 75.18, 0.13, 42.23, 0.02, 4.14, 0.17, 0.48, 0.02, 5.91, 0.54, 8.65, 0.79, 0.99, 6.22, 0.000, 0.72, 6
2, 3, 183, 21.42, 0.01, 54.19, 0.02, 4.84, 0.02, 3.48, 0.01, 88.21, 0.50, 1.39, 0.16, 0.70, 52.91, 0.071, 0.10, 0
2, 4, 400, 39.74, 0.13, 61.30, 0.02, 4.46, 0.18, 0.44, 0.02, 5.01, 0.51, 10.03, 0.82, 1.00, 6.23, 0.000, 0.70, 6
2, 5, 400, 9.14, 0.13, 62.96, 0.01, 4.58, 0.17, 0.43, 0.02, 4.77, 0.42, 10.68, 0.83, 1.00, 6.16, 0.000, 0.68, 6
2, 6, 194, 67.00, 0.01, 76.82, 0.01, 5.13, 0.02, 3.80, 0.01, 89.92, 0.49, 1.35, 0.15, 0.67, 61.28, 0.067, 0.10, 0
3, 1, 400, 46.57, 0.13, 9.25, 0.01, 4.58, 0.17, 0.43, 0.02, 4.77, 0.42, 10.68, 0.83, 1.00, 6.16, 0.000, 0.68, 6
3, 2, 400, 94.85, 0.15, 20.08, 0.03, 4.43, 0.20, 0.48, 0.03, 5.55, 0.77, 9.15, 0.80, 0.99, 6.72, 0.000, 0.78, 6
3, 3, 400, 56.47, 0.13, 20.33, 0.01, 4.58, 0.17, 0.43, 0.02, 4.77, 0.42, 10.68, 0.83, 1.00, 6.16, 0.000, 0.68, 6
3, 4, 400, 62.44, 0.12, 54.65, 0.02, 4.29, 0.20, 0.48, 0.03, 5.77, 0.63, 8.96, 0.80, 0.99, 6.46, 0.000, 0.75, 6
4, 1, 221, 14.97, 0.05, 8.99, 0.10, 6.86, 0.13, 3.55, 0.05, 74.33, 1.93, 1.93, 0.32, 0.86, 76.51, 0.043, 0.63, 6
4, 2, 228, 11.30, 0.01, 21.88, 0.01, 6.78, 0.02, 3.37, 0.01, 89.74, 0.16, 2.01, 0.34, 0.87, 71.82, 0.044, 0.08, 6
4, 3, 211, 77.17, 0.01, 26.82, 0.02, 7.11, 0.02, 3.30, 0.01, 85.81, 0.12, 2.16, 0.37, 0.89, 73.78, 0.047, 0.07, 6
4, 4, 400, 25.45, 0.12, 61.19, 0.02, 4.21, 0.19, 0.48, 0.03, 5.79, 0.57, 8.80, 0.80, 0.99, 6.32, 0.000, 0.74, 6
5, 1, 400, 23.67, 0.12, 7.82, 0.02, 4.29, 0.17, 0.48, 0.03, 5.76, 0.60, 8.91, 0.80, 0.99, 6.50, 0.000, 0.75, 6
5, 2, 400, 52.89, 0.15, 17.89, 0.03, 4.44, 0.21, 0.48, 0.03, 5.53, 0.66, 9.21, 0.80, 0.99, 6.74, 0.000, 0.77, 6
5, 3, 400, 32.77, 0.13, 46.73, 0.02, 4.38, 0.17, 0.46, 0.02, 5.30, 0.58, 9.43, 0.81, 0.99, 6.40, 0.000, 0.74, 6
6, 1, 232, 25.71, 0.05, 18.31, 0.06, 5.50, 0.08, 4.13, 0.05, 86.79, 3.05, 1.33, 0.14, 0.66, 71.39, 0.067, 0.51, 3
6, 2, 209, 79.10, 0.01, 32.43, 0.01, 6.57, 0.02, 3.44, 0.01, 88.10, 0.15, 1.91, 0.31, 0.85, 70.99, 0.060, 0.06, 0
6, 3, 400, 42.74, 0.11, 57.66, 0.02, 4.22, 0.18, 0.48, 0.03, 5.79, 0.55, 8.86, 0.80, 0.99, 6.31, 0.000, 0.74, 6
6, 4, 400, 76.54, 0.13, 77.81, 0.02, 4.30, 0.19, 0.48, 0.03, 5.80, 0.66, 8.95, 0.80, 0.99, 6.49, 0.000, 0.75, 6
7, 1, 400, 17.87, 0.13, 14.27, 0.02, 4.86, 0.20, 0.42, 0.02, 4.41, 0.43, 11.65, 0.84, 1.00, 6.37, 0.000, 0.69, 6
7, 2, 400, 10.26, 0.13, 33.30, 0.02, 4.38, 0.17, 0.47, 0.03, 5.32, 0.60, 9.39, 0.81, 0.99, 6.41, 0.000, 0.73, 6
7, 3, 261, 64.36, 0.03, 43.67, 0.05, 7.54, 0.07, 4.10, 0.03, 72.42, 0.57, 1.84, 0.30, 0.84, 97.11, 0.070, 16.31, 3
