Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 152, 27.92, 0.01, 12.09, 0.02, 7.00, 0.03, 2.29, 0.01, 88.21, 0.12, 3.06, 0.51, 0.94, 50.41, 0.043, 0.07, 0
0, 2, 139, 56.84, 0.01, 16.32, 0.02, 5.85, 0.04, 2.17, 0.01, 81.57, 0.18, 2.69, 0.46, 0.93, 39.91, 0.035, 0.08, 0
0, 3, 400, 100.06, 0.10, 12.93, 0.03, 3.42, 0.15, 0.90, 0.04, 14.33, 1.35, 3.78, 0.58, 0.96, 9.71, 0.002, 1.20, 6
0, 4, 162, 58.44, 0.01, 32.89, 0.03, 7.12, 0.05, 2.48, 0.01, 87.18, 0.14, 2.87, 0.48, 0.94, 55.56, 0.036, 0.09, 0
0, 5, 178, 83.93, 0.03, 35.96, 0.18, 7.16, 0.20, 2.54, 0.03, 83.73, 0.78, 2.82, 0.48, 0.93, 57.09, 0.038, 0.38, 3
0, 6, 151, 29.27, 0.01, 36.68, 0.02, 5.98, 0.03, 2.60, 0.01, 86.25, 0.16, 2.30, 0.39, 0.90, 48.85, 0.035, 0.07, 0
0, 7, 400, 9.73, 0.10, 34.96, 0.04, 3.17, 0.14, 0.99, 0.04, 17.59, 1.85, 3.19, 0.52, 0.95, 9.91, 0.002, 1.30, 6
0, 8, 241, 112.13, 0.01, 55.49, 0.06, 12.21, 0.08, 2.35, 0.02, 85.44, 0.09, 5.20, 0.68, 0.98, 89.94, 0.047, 0.14, 4
0, 9, 166, 91.12, 0.01, 52.83, 0.02, 7.75, 0.03, 2.36, 0.01, 86.62, 0.10, 3.28, 0.53, 0.95, 57.52, 0.040, 0.06, 0
0, 10, 139, 57.81, 0.01, 53.78, 0.02, 6.44, 0.03, 2.00, 0.01, 81.43, 0.13, 3.23, 0.53, 0.95, 40.36, 0.037, 0.06, 0
0, 11, 400, 66.55, 0.10, 55.70, 0.03, 3.29, 0.15, 0.94, 0.04, 15.75, 1.49, 3.50, 0.56, 0.96, 9.74, 0.002, 1.23, 6
0, 12, 144, 12.58, 0.11, 63.27, 0.40, 6.50, 0.35, 2.22, 0.10, 81.95, 1.37, 2.92, 0.49, 0.94, 45.39, 0.036, 0.66, 3
0, 13, 153, 72.43, 0.05, 67.58, 0.37, 7.89, 0.37, 2.56, 0.04, 87.74, 0.76, 3.08, 0.51, 0.95, 63.40, 0.039, 0.39, 3
