Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 139, 54.66, 0.01, 13.78, 0.03, 5.54, 0.04, 2.18, 0.01, 89.56, 0.25, 2.54, 0.43, 0.92, 37.97, 0.029, 0.10, 6
0, 2, 400, 34.17, 0.14, 8.87, 0.02, 5.13, 0.21, 0.59, 0.03, 5.90, 0.51, 8.63, 0.79, 0.99, 9.56, 0.001, 0.90, 6
0, 3, 400, 11.14, 0.17, 9.40, 0.02, 5.68, 0.22, 0.53, 0.02, 4.78, 0.41, 10.73, 0.83, 1.00, 9.45, 0.001, 0.84, 6
0, 4, 185, 104.17, 0.02, 17.84, 0.06, 7.41, 0.07, 2.68, 0.02, 88.60, 0.35, 2.76, 0.47, 0.93, 62.37, 0.033, 0.21, 3
0, 5, 400, 78.68, 0.09, 14.83, 0.04, 3.02, 0.13, 1.03, 0.04, 20.06, 1.98, 2.93, 0.49, 0.94, 9.77, 0.002, 1.32, 6
0, 6, 240, 69.19, 0.14, 28.61, 0.21, 8.16, 0.43, 3.27, 0.16, 72.70, 1.69, 2.50, 0.43, 0.92, 83.81, 0.026, 1.24, 6
0, 7, 78, 36.72, 0.02, 28.80, 0.07, 4.36, 0.07, 1.86, 0.02, 84.18, 0.76, 2.34, 0.40, 0.90, 25.53, 0.030, 0.09, 6
0, 8, 400, 116.55, 0.10, 26.96, 0.04, 3.29, 0.14, 0.95, 0.04, 15.95, 1.53, 3.47, 0.55, 0.96, 9.78, 0.001, 1.24, 6
0, 9, 400, 20.75, 0.26, 28.02, 0.03, 7.46, 0.36, 0.45, 0.03, 3.06, 0.40, 16.71, 0.89, 1.00, 10.47, 0.001, 0.85, 6
0, 10, 169, 106.50, 0.01, 36.44, 0.03, 6.96, 0.03, 2.45, 0.01, 87.93, 0.14, 2.84, 0.48, 0.94, 53.64, 0.028, 0.09, 6
0, 11, 400, 91.79, 0.14, 30.54, 0.02, 5.24, 0.23, 0.59, 0.03, 5.73, 0.54, 8.87, 0.80, 0.99, 9.73, 0.001, 0.91, 6
0, 12, 400, 97.60, 0.08, 33.08, 0.04, 2.88, 0.11, 1.09, 0.04, 23.39, 2.26, 2.65, 0.45, 0.93, 9.81, 0.002, 1.36, 6
0, 13, 206, 65.39, 0.04, 42.82, 0.17, 10.26, 0.27, 2.16, 0.02, 82.62, 0.43, 4.76, 0.65, 0.98, 69.48, 0.025, 0.33, 6
0, 14, 206, 14.60, 0.14, 45.69, 0.53, 9.29, 0.70, 2.53, 0.05, 77.45, 0.85, 3.67, 0.57, 0.96, 73.97, 0.030, 0.69, 6
0, 15, 400, 76.14, 0.13, 44.32, 0.03, 4.25, 0.19, 0.74, 0.04, 8.99, 0.89, 5.70, 0.70, 0.98, 9.93, 0.000, 1.07, 6
0, 16, 243, 37.97, 0.02, 55.16, 0.06, 10.73, 0.09, 2.76, 0.02, 79.03, 0.18, 3.89, 0.59, 0.97, 93.08, 0.027, 0.21, 6
0, 17, 129, 8.81, 0.01, 54.44, 0.02, 5.62, 0.03, 2.56, 0.01, 92.46, 0.20, 2.20, 0.38, 0.89, 45.16, 0.042, 0.07, 0
0, 18, 400, 87.90, 0.11, 51.34, 0.04, 3.40, 0.16, 0.95, 0.04, 15.61, 1.63, 3.57, 0.56, 0.96, 10.16, 0.002, 1.29, 6
