Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 174, 66.00, 0.08, 19.81, 0.13, 4.75, 0.15, 2.60, 0.09, 73.28, 3.45, 1.83, 0.29, 0.84, 38.77, 0.024, 0.78, 6
0, 2, 142, 81.79, 0.01, 22.69, 0.02, 6.04, 0.03, 2.33, 0.01, 86.83, 0.18, 2.59, 0.44, 0.92, 44.18, 0.039, 0.07, 0
0, 3, 268, 94.56, 0.11, 28.39, 0.10, 6.99, 0.17, 3.77, 0.11, 51.06, 1.88, 1.85, 0.30, 0.84, 82.86, 0.044, 22.61, 3
0, 4, 106, 75.48, 0.01, 27.91, 0.02, 5.21, 0.03, 1.92, 0.01, 87.78, 0.18, 2.72, 0.46, 0.93, 31.37, 0.043, 0.06, 0
0, 5, 124, 34.81, 0.01, 31.37, 0.02, 5.07, 0.03, 2.03, 0.01, 86.95, 0.23, 2.50, 0.43, 0.92, 32.26, 0.035, 0.07, 0
0, 6, 122, 22.77, 0.01, 32.44, 0.02, 5.03, 0.02, 2.16, 0.01, 85.18, 0.21, 2.33, 0.40, 0.90, 34.12, 0.038, 0.06, 0
0, 7, 400, 75.51, 23.21, 52.05, 69.03, 29.80, 69.82, 3.53, 1.50, 86.13, 32.00, 8.44, 0.79, 0.99, 330.48, 0.028, 4.30, 6
0, 8, 138, 55.88, 0.01, 40.25, 0.02, 5.87, 0.02, 2.03, 0.01, 86.71, 0.15, 2.90, 0.49, 0.94, 37.41, 0.039, 0.06, 0
0, 9, 188, 42.76, 0.01, 45.27, 0.07, 9.92, 0.12, 2.20, 0.02, 85.59, 0.15, 4.51, 0.64, 0.98, 68.50, 0.044, 0.15, 0
0, 10, 138, 111.50, 0.01, 48.70, 0.02, 5.12, 0.02, 2.94, 0.01, 85.78, 0.29, 1.74, 0.27, 0.82, 47.29, 0.051, 0.08, 0
0, 11, 137, 103.93, 0.01, 57.98, 0.02, 6.08, 0.03, 2.29, 0.01, 89.05, 0.15, 2.66, 0.45, 0.93, 43.70, 0.052, 0.06, 0
0, 12, 142, 116.95, 0.02, 57.79, 0.07, 5.83, 0.16, 2.46, 0.04, 90.59, 0.51, 2.37, 0.41, 0.91, 45.08, 0.030, 0.27, 6
0, 13, 212, 59.83, 0.05, 62.11, 0.18, 8.15, 0.21, 2.71, 0.05, 81.67, 1.11, 3.01, 0.50, 0.94, 69.45, 0.039, 0.62, 3
0, 14, 121, 64.23, 0.03, 59.86, 0.14, 6.10, 0.22, 1.69, 0.03, 82.27, 0.65, 3.62, 0.57, 0.96, 32.29, 0.038, 0.24, 3
0, 15, 115, 90.92, 0.01, 65.40, 0.02, 4.73, 0.03, 2.12, 0.01, 86.23, 0.23, 2.23, 0.38, 0.89, 31.43, 0.050, 0.07, 0
0, 16, 141, 119.44, 0.01, 71.86, 0.02, 6.09, 0.03, 2.32, 0.01, 84.40, 0.15, 2.62, 0.45, 0.92, 44.41, 0.051, 0.07, 0
0, 17, 400, 23.45, 0.09, 67.74, 0.04, 3.02, 0.13, 1.03, 0.04, 19.96, 1.99, 2.94, 0.49, 0.94, 9.77, 0.002, 1.31, 6
0, 18, 130, 75.03, 0.01, 72.62, 0.02, 5.55, 0.02, 2.24, 0.01, 86.82, 0.17, 2.48, 0.43, 0.92, 38.96, 0.043, 0.06, 0
0, 19, 234, 47.36, 0.05, 80.23, 0.11, 10.02, 0.19, 2.68, 0.07, 78.43, 0.61, 3.73, 0.58, 0.96, 84.46, 0.035, 0.40, 3
0, 20, 400, 31.19, 0.09, 78.71, 0.05, 3.17, 0.12, 0.99, 0.04, 17.40, 1.76, 3.20, 0.52, 0.95, 9.87, 0.002, 1.29, 6
1, 1, 133, 35.02, 0.01, 7.39, 0.02, 5.71, 0.03, 2.37, 0.01, 87.65, 0.20, 2.42, 0.41, 0.91, 42.48, 0.045, 0.08, 0
1, 2, 141, 107.28, 0.01, 7.67, 0.02, 5.72, 0.02, 2.23, 0.01, 84.74, 0.16, 2.57, 0.44, 0.92, 39.99, 0.046, 0.07, 0
1, 3, 146, 11.06, 0.07, 23.10, 0.12, 5.72, 0.12, 2.26, 0.06, 83.74, 1.15, 2.53, 0.43, 0.92, 40.61, 0.029, 0.39, 6
1, 4, 165, 16.93, 0.16, 22.29, 0.08, 5.33, 0.23, 3.57, 0.09, 40.21, 5.50, 1.49, 0.20, 0.74, 59.82, 0.027, 0.73, 6
1, 5, 197, 32.10, 0.10, 23.00, 0.17, 5.55, 0.22, 2.37, 0.10, 78.69, 2.67, 2.34, 0.40, 0.90, 41.32, 0.024, 0.80, 6
1, 6, 132, 97.16, 0.01, 28.63, 0.02, 6.05, 0.03, 2.43, 0.01, 86.47, 0.16, 2.49, 0.43, 0.92, 46.16, 0.045, 0.06, 0
1, 7, 157, 35.19, 0.03, 30.60, 0.07, 5.58, 0.13, 2.28, 0.05, 88.58, 0.72, 2.45, 0.42, 0.91, 40.01, 0.028, 0.30, 6
1, 8, 117, 44.96, 0.01, 36.62, 0.02, 4.92, 0.03, 2.01, 0.01, 84.64, 0.20, 2.45, 0.42, 0.91, 31.16, 0.043, 0.06, 0
1, 9, 136, 87.94, 0.01, 38.91, 0.02, 5.68, 0.03, 2.67, 0.01, 86.26, 0.21, 2.13, 0.36, 0.88, 47.61, 0.041, 0.07, 0
1, 10, 400, 74.99, 0.10, 33.84, 0.05, 3.40, 0.14, 0.95, 0.04, 15.70, 1.57, 3.58, 0.56, 0.96, 10.14, 0.002, 1.29, 6
1, 11, 135, 7.73, 0.01, 42.24, 0.02, 5.99, 0.03, 2.14, 0.01, 85.69, 0.14, 2.80, 0.47, 0.93, 40.16, 0.037, 0.06, 0
1, 12, 106, 54.21, 0.08, 47.46, 0.06, 3.45, 0.08, 2.34, 0.11, 16.16, 3.66, 1.47, 0.19, 0.73, 25.38, 0.029, 0.41, 6
1, 13, 145, 93.11, 0.01, 52.40, 0.02, 6.23, 0.03, 2.71, 0.01, 86.60, 0.15, 2.30, 0.39, 0.90, 53.14, 0.043, 0.07, 0
1, 14, 400, 111.17, 0.08, 49.41, 0.04, 3.03, 0.12, 1.03, 0.04, 20.04, 1.91, 2.95, 0.49, 0.94, 9.76, 0.003, 1.31, 6
1, 15, 400, 19.45, 0.09, 49.59, 0.03, 3.41, 0.12, 0.91, 0.04, 14.42, 1.35, 3.76, 0.58, 0.96, 9.70, 0.002, 1.20, 6
1, 16, 112, 76.66, 0.01, 58.60, 0.02, 4.83, 0.02, 1.99, 0.01, 84.40, 0.20, 2.42, 0.42, 0.91, 30.17, 0.040, 0.07, 0
1, 17, 136, 62.61, 0.01, 67.36, 0.02, 5.90, 0.03, 2.06, 0.01, 83.17, 0.17, 2.86, 0.48, 0.94, 38.16, 0.036, 0.07, 0
1, 18, 400, 100.20, 0.10, 73.84, 0.05, 3.40, 0.14, 0.95, 0.04, 15.70, 1.57, 3.58, 0.56, 0.96, 10.14, 0.003, 1.29, 6
1, 19, 323, 25.68, 21.44, 81.40, 40.15, 25.14, 42.69, 3.18, 0.86, 66.25, 17.67, 7.90, 0.78, 0.99, 251.27, 0.026, 7.94, 6
1, 20, 127, 109.56, 0.01, 81.72, 0.01, 4.35, 0.02, 2.70, 0.01, 84.94, 0.39, 1.61, 0.23, 0.78, 36.89, 0.045, 0.07, 0
2, 1, 136, 45.96, 0.07, 9.98, 0.56, 6.85, 0.50, 2.55, 0.05, 87.69, 1.01, 2.69, 0.46, 0.93, 54.78, 0.054, 0.41, 3
2, 2, 209, 51.88, 0.08, 14.10, 0.14, 8.01, 0.30, 3.21, 0.15, 82.35, 1.45, 2.50, 0.43, 0.92, 80.69, 0.045, 0.81, 3
2, 3, 134, 32.58, 0.01, 12.82, 0.01, 5.53, 0.02, 2.38, 0.01, 87.16, 0.16, 2.32, 0.40, 0.90, 41.39, 0.051, 0.06, 0
2, 4, 126, 110.99, 0.01, 17.45, 0.03, 5.95, 0.05, 2.41, 0.01, 87.07, 0.21, 2.48, 0.42, 0.91, 44.99, 0.045, 0.08, 0
2, 5, 400, 10.30, 0.10, 17.37, 0.04, 3.30, 0.14, 0.94, 0.04, 15.73, 1.40, 3.50, 0.56, 0.96, 9.77, 0.002, 1.23, 6
2, 6, 189, 55.36, 0.04, 24.84, 0.13, 6.65, 0.17, 2.69, 0.04, 87.19, 0.84, 2.47, 0.42, 0.91, 56.32, 0.042, 0.42, 3
2, 7, 141, 60.04, 0.04, 26.66, 0.10, 4.89, 0.14, 2.45, 0.05, 83.58, 1.96, 2.00, 0.33, 0.87, 37.58, 0.033, 0.45, 3
2, 8, 129, 88.58, 0.01, 32.42, 0.02, 5.55, 0.02, 2.48, 0.01, 86.92, 0.17, 2.24, 0.38, 0.89, 43.16, 0.050, 0.06, 0
2, 9, 122, 112.48, 0.01, 55.17, 0.03, 5.89, 0.04, 1.94, 0.01, 86.35, 0.16, 3.03, 0.50, 0.94, 35.94, 0.048, 0.06, 0
2, 10, 122, 84.72, 0.01, 65.49, 0.02, 5.31, 0.03, 2.24, 0.01, 85.28, 0.22, 2.37, 0.41, 0.91, 37.43, 0.041, 0.07, 0
2, 11, 140, 92.79, 0.01, 75.24, 0.02, 5.88, 0.02, 2.20, 0.01, 87.21, 0.14, 2.67, 0.45, 0.93, 40.71, 0.045, 0.06, 0
2, 12, 400, 75.90, 0.09, 78.53, 0.04, 3.13, 0.14, 1.01, 0.04, 18.48, 1.92, 3.11, 0.51, 0.95, 9.92, 0.003, 1.31, 6
