Picture, Cell, Edge pxls, X0 um, X0 se, Y0 um, Y0 se, A um, A se, B um, B se, Phi deg, Phi se, A/B, EI, ECC, Area um2, Focus, Eof um, Error code
0, 1, 161, 80.39, 0.01, 11.05, 0.02, 6.67, 0.03, 2.68, 0.01, 85.55, 0.14, 2.49, 0.43, 0.92, 56.16, 0.042, 0.08, 0
0, 2, 130, 90.50, 0.01, 16.55, 0.03, 5.35, 0.05, 4.02, 0.01, 97.40, 0.74, 1.33, 0.14, 0.66, 67.65, 0.052, 0.12, 0
0, 3, 169, 36.31, 0.01, 23.19, 0.02, 6.99, 0.03, 2.65, 0.01, 87.62, 0.17, 2.64, 0.45, 0.93, 58.20, 0.045, 0.09, 0
0, 4, 154, 53.58, 0.06, 26.01, 0.21, 6.63, 0.21, 2.95, 0.06, 90.26, 1.53, 2.25, 0.38, 0.90, 61.53, 0.041, 0.55, 3
0, 5, 159, 76.63, 0.01, 26.26, 0.03, 7.37, 0.04, 2.61, 0.01, 88.18, 0.14, 2.82, 0.48, 0.94, 60.48, 0.042, 0.09, 0
0, 6, 155, 68.39, 0.01, 28.12, 0.03, 5.62, 0.03, 3.18, 0.02, 93.05, 0.44, 1.77, 0.28, 0.82, 56.21, 0.048, 0.14, 0
0, 7, 252, 94.21, 0.11, 37.70, 0.87, 14.61, 1.25, 2.24, 0.05, 83.23, 0.50, 6.52, 0.73, 0.99, 102.80, 0.050, 0.61, 3
0, 8, 289, 58.39, 0.05, 39.34, 0.26, 12.71, 0.29, 2.84, 0.05, 88.07, 0.24, 4.48, 0.63, 0.97, 113.39, 0.041, 3.99, 3
0, 9, 168, 118.87, 0.01, 47.35, 0.03, 7.09, 0.04, 2.54, 0.01, 86.45, 0.15, 2.79, 0.47, 0.93, 56.67, 0.034, 0.09, 0
0, 10, 209, 62.87, 0.16, 54.45, 0.16, 9.58, 0.24, 4.03, 0.08, 50.03, 0.82, 2.38, 0.41, 0.91, 121.28, 0.049, 0.63, 3
0, 11, 175, 29.69, 0.01, 56.36, 0.02, 7.30, 0.03, 2.81, 0.01, 87.99, 0.13, 2.60, 0.44, 0.92, 64.42, 0.034, 0.08, 0
0, 12, 167, 75.54, 0.01, 56.73, 0.03, 7.43, 0.04, 2.51, 0.01, 85.36, 0.13, 2.96, 0.50, 0.94, 58.56, 0.044, 0.09, 0
0, 13, 188, 112.91, 0.06, 57.98, 0.16, 7.87, 0.19, 3.02, 0.05, 78.40, 1.05, 2.61, 0.45, 0.92, 74.60, 0.043, 0.59, 3
0, 14, 160, 54.22, 0.08, 60.34, 0.07, 5.53, 0.12, 4.08, 0.09, 68.37, 2.81, 1.35, 0.15, 0.67, 70.87, 0.041, 0.57, 3
0, 15, 223, 117.97, 0.04, 67.95, 0.10, 7.76, 0.17, 3.02, 0.07, 85.77, 0.77, 2.57, 0.44, 0.92, 73.62, 0.033, 0.47, 3
0, 16, 400, 50.20, 0.11, 68.65, 0.03, 3.66, 0.15, 0.85, 0.04, 12.09, 1.19, 4.32, 0.62, 0.97, 9.77, 0.002, 1.15, 6
0, 17, 400, 101.99, 0.11, 79.14, 0.04, 3.65, 0.15, 0.89, 0.04, 13.10, 1.38, 4.11, 0.61, 0.97, 10.16, 0.002, 1.23, 6
0, 18, 164, 50.15, 0.01, 92.70, 0.02, 7.37, 0.03, 2.59, 0.01, 85.28, 0.12, 2.84, 0.48, 0.94, 60.10, 0.040, 0.08, 0
0, 19, 209, 117.64, 0.10, 106.14, 0.07, 6.05, 0.13, 4.49, 0.11, 39.29, 3.07, 1.35, 0.15, 0.67, 85.41, 0.026, 0.68, 6
1, 1, 134, 88.54, 0.08, 8.51, 0.15, 6.24, 0.26, 3.19, 0.04, 65.99, 1.24, 1.96, 0.32, 0.86, 62.50, 0.040, 0.40, 3
1, 2, 206, 48.12, 0.05, 19.22, 0.08, 6.62, 0.11, 4.67, 0.05, 89.05, 1.84, 1.42, 0.17, 0.71, 97.05, 0.047, 0.59, 3
1, 3, 165, 15.46, 0.02, 19.14, 0.05, 6.31, 0.09, 2.76, 0.03, 89.09, 0.40, 2.28, 0.39, 0.90, 54.72, 0.041, 0.22, 3
1, 4, 133, 5.71, 0.02, 23.60, 0.02, 4.38, 0.03, 3.00, 0.02, 80.10, 0.65, 1.46, 0.19, 0.73, 41.29, 0.039, 0.11, 0
1, 5, 227, 80.60, 0.09, 44.31, 0.19, 8.34, 0.19, 3.58, 0.12, 90.73, 1.73, 2.33, 0.40, 0.90, 93.79, 0.043, 1.01, 3
1, 6, 181, 10.42, 0.01, 44.77, 0.02, 7.16, 0.02, 2.85, 0.01, 87.18, 0.14, 2.51, 0.43, 0.92, 64.10, 0.036, 0.09, 0
1, 7, 187, 51.40, 0.01, 47.44, 0.02, 8.16, 0.03, 2.74, 0.01, 87.96, 0.11, 2.98, 0.50, 0.94, 70.13, 0.040, 0.09, 4
1, 8, 184, 112.82, 0.01, 50.92, 0.03, 7.93, 0.04, 2.59, 0.01, 85.58, 0.12, 3.06, 0.51, 0.95, 64.51, 0.038, 0.09, 0
1, 9, 400, 44.29, 0.11, 52.89, 0.04, 3.68, 0.16, 0.88, 0.04, 12.85, 1.39, 4.18, 0.61, 0.97, 10.16, 0.002, 1.21, 6
1, 10, 164, 11.36, 0.01, 60.30, 0.02, 6.65, 0.02, 2.74, 0.01, 85.07, 0.15, 2.43, 0.42, 0.91, 57.12, 0.037, 0.08, 0
1, 11, 169, 65.78, 0.02, 61.38, 0.04, 6.79, 0.05, 3.78, 0.03, 71.63, 0.54, 1.80, 0.28, 0.83, 80.70, 0.044, 0.21, 3
1, 12, 166, 43.82, 0.01, 87.42, 0.02, 7.15, 0.03, 2.74, 0.01, 85.16, 0.14, 2.61, 0.45, 0.92, 61.50, 0.033, 0.08, 0
1, 13, 153, 69.89, 0.01, 86.82, 0.02, 6.01, 0.02, 2.90, 0.01, 85.08, 0.22, 2.07, 0.35, 0.88, 54.75, 0.038, 0.08, 0
1, 14, 142, 92.46, 0.04, 99.44, 0.14, 6.96, 0.21, 2.13, 0.03, 81.90, 1.02, 3.27, 0.53, 0.95, 46.61, 0.031, 0.29, 3
2, 1, 121, 64.18, 0.02, 10.73, 0.02, 4.27, 0.02, 3.88, 0.02, 59.48, 3.65, 1.10, 0.05, 0.42, 52.06, 0.044, 0.12, 0
2, 2, 193, 115.38, 0.01, 17.71, 0.02, 8.05, 0.03, 2.96, 0.01, 85.08, 0.13, 2.72, 0.46, 0.93, 74.89, 0.030, 0.10, 4
2, 3, 148, 100.64, 0.02, 16.50, 0.03, 4.92, 0.03, 3.51, 0.02, 95.62, 0.72, 1.40, 0.17, 0.70, 54.35, 0.044, 0.14, 0
2, 4, 148, 83.00, 0.01, 20.43, 0.02, 6.39, 0.03, 2.50, 0.01, 87.27, 0.16, 2.56, 0.44, 0.92, 50.10, 0.043, 0.08, 0
2, 5, 173, 107.33, 0.02, 25.71, 0.09, 6.92, 0.15, 2.89, 0.05, 89.75, 0.46, 2.39, 0.41, 0.91, 62.79, 0.040, 0.30, 3
2, 6, 400, 31.73, 0.11, 20.47, 0.04, 3.90, 0.16, 0.82, 0.04, 10.87, 1.17, 4.78, 0.65, 0.98, 9.99, 0.002, 1.14, 6
2, 7, 157, 61.69, 0.01, 27.84, 0.06, 7.14, 0.07, 2.88, 0.01, 88.06, 0.32, 2.48, 0.43, 0.92, 64.49, 0.038, 0.11, 0
2, 8, 180, 71.03, 0.01, 31.60, 0.02, 7.59, 0.03, 2.66, 0.01, 89.73, 0.13, 2.85, 0.48, 0.94, 63.34, 0.038, 0.08, 0
2, 9, 277, 8.67, 0.06, 36.23, 0.09, 8.09, 0.11, 4.67, 0.05, 87.63, 1.80, 1.73, 0.27, 0.82, 118.87, 0.037, 10.76, 3
2, 10, 165, 64.20, 0.02, 39.05, 0.07, 7.19, 0.11, 2.60, 0.03, 88.74, 0.41, 2.77, 0.47, 0.93, 58.72, 0.035, 0.18, 0
2, 11, 189, 87.27, 0.01, 47.84, 0.02, 8.19, 0.03, 2.89, 0.01, 87.06, 0.12, 2.84, 0.48, 0.94, 74.34, 0.046, 0.09, 4
